review_text,sentiment
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.,0
Average,0
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.",1
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.,1
"Bad quality, i have pirchase 4 boxes but all are very fast.",0
Best shuttle available online no more discription needed.,1
long lasting product.....nice product....,1
best shuttle,1
🏸Good Quality... 🏸,1
Fabulous item,1
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.,1
It's is good product and the service was very good,1
2nd quality,0
Local product,0
Very old stock.. not lasts to even 5 games,0
All shuttles are not good in view of balance.,0
Ok,1
Nice product all suttles are good 🥰🥰,1
Nice product,1
Old one only,0
Super ball,1
According to cost it's average life,1
So worst,0
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,0
Quality not good              It was broken after 2 match,0
Nice product but damage in 1 days,0
Not good at all this is the worst product I have bought at flipkart,0
Low quality. Not durabality,1
Badly,0
Very bad quality,0
Very bad product a word to describe I write duplicate product,0
This time quality very very worst,0
Poor quality ☹️,0
"This shuttles were duplicates, these were not up to the mark.",0
Very bad product I ever received,0
Bad copy quality riceve,0
Waste of money,0
Quality is very bad and very very tired class shuttecock,0
Worst,0
So poor quality,0
Reate is wery to much,0
The worst shuttle ever I used so far. Don't buy this product. It is low in quality,0
not upto mark cork getting cracks,0
Very poor quality Is not lasting for one set. Base is breakinf and the top is worn,0
"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too bad",0
Very good,1
Good quality of shuttles,1
"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original products",1
Bad producted,0
Good product,1
If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..,1
Good product,1
Good,1
Superb. But why price is higher day by day. Between two weeks price is gained 170rs,1
Good quality,1
Best,1
I play every day with this and we play really hard in Courts. This has always been a best choice.,1
This item is so good you can buy it it is original,1
Excellent for Indoor court,1
Genuine product. Nice packing.,1
Good quality..😍🖤,1
Nice thanks  Flipkart,1
Nice product,1
Nice product,1
wow product,1
1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.,0
Product is not same as shown in the picture.,0
"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.",0
Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.,0
shuttle was not of genuine conectarte quality,0
poor quality,0
2 balls are waste. they are rotate. unable to play.,1
very poor quality.... 1 shuttle in not standing more than 2 days,0
original product,1
Shuttle not good,0
good as expected,1
good,1
Yonex Mavis 350 is not a pure item. shuttle's are so old,0
"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀",1
Good👍,1
very nice,1
nice,1
nice shuttle for outdoor,1
good product,1
amazing cost and amazing one,1
The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttles,1
good dilevary and very good product,1
Looks like these are fake shuttles & not sold by yonex.,0
worst product not to buy low quality,0
shuttles were shapeless as they may have been mishandelrd while in transportation,0
product is not good,0
"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.",0
bad quality,0
Very good product,1
best quality shuttles,1
good quality. value the money,1
Very worst,0
NOT BAD....,1
shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.,1
"Bad Quality,,,,,,",0
Quality is not good. Little bit fast.,0
Excellent it's original as I buy in local sports stores,1
"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 day",0
The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.,0
Nice product best price super,1
Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍,1
It's not suitable for outdoor,0
It seems it is not original. Lighter and not lasting for more than an hour of play.,0
Horrible shuttle I ever play,0
"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.",1
"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.",1
Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order more,1
"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.",1
nice items,1
Thank you flipkart for providing such a great product with good quality and great deal.,1
shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaper,1
I love it.....It is really very guudAs well as it has a fantastic delivery It's so early also,1
it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  level,1
"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleast",0
Value for Money,1
Excellent product but cost is higher,1
one Shuttle just broken in 4 days by a smash,0
"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales also",0
"nice shuttle , The Flight is correct, and good durability.",1
Ball best but local rate are high,1
"Good, slow type cork, we r using it for daily game, one cork lasts for 3 days",1
Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍,1
Very worst rate,0
shuttle has long life and light.,1
Worst product.Dont go for it.It will not stand for an hour play,0
Better for beginners,1
"shuttle not Good ,even  1 match it will come,think twice before purchase",0
Its okk,0
1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .,0
Nice product for practice,1
Excellent,1
Good one,1
Nice,1
Good,1
It is good .,1
Original product with great discount,1
"Absolutely good quality shuttles,and great packing by the team.",1
"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second order",1
Poor product...,0
Poor quality,0
Value for money,1
It's really awesome,1
Super,1
Good,1
Good product,1
The shuttle is working perfectly,1
Nice,1
Gud,1
Super good,1
Better to intermediate nd biggner,1
good,1
"Good product,",1
Fine,1
Super exalent iam very happy thank you,1
Very bad quality,1
Nice,1
"Waste product.High speed shuttles, not useful to intermediate or advanced players.Looting money with sub-standard Products😡",0
Good,1
Fabulous shuttlecock is good for all medium players,1
Worst,0
Good,1
"When I order Yonex MAVIS 350 Slow Speed ball but he send some low quality ball, not puy tha product really worst quality don't buy this product please",0
It wa good,1
Super,1
Good,1
Awsome product and one shuttle wears out in 8 games,1
Very good quality product,1
Good quality.,1
Nice shuttlecocks,1
Good,1
Good,1
Good Product,1
Very bad 😤😤😤😤😤😤😤,0
Orginal quality product,1
Good but high price...,1
Best shuttlecocks in indoor and outdoor badminton,1
Good,1
Worst quality,0
Excellent product,1
Exlent,1
Good,1
Super,1
Perfect,1
Good but very costly,1
Good product👍,1
Good,1
Very good,1
"Very good quality, happy with the purchase",1
It's original and it's the best.Go for it without hesitation.,1
Good product. great experience,1
Shuttle is very good 🙂,1
Tq flippy it's original barrel,1
Real Yonex..satisfied,1
Super,1
Best shuttle of Mavis company. And thanks to flipcart service .,1
Super,1
To good,1
Best,1
awesome,1
Awesome quality.,1
Good,1
Good,1
Nice 👍,1
Awesome product indeed. The closest to feather shuttle,1
Perfect,1
"Nice product with best quality, if you are beginner  just go for it.Really worth for the money you spent.",1
Perfectly geniune product....Thank you seller....,1
Very good product,0
Best in class,1
Super,1
Great,1
Good,1
Nice,1
Good,1
Good,1
Good,1
Worst quality,0
Superb ..nodoubt,1
"In terms of flight, stability and durability only 350  is better and can be consider nearly similar to feather Shuttles (AS 2 or rsl no. 5) otherwise all other mavis shuttles (300, 2000, 600 etc.) are not so good",1
Best shuttle in this price. Quality is so good and good to play.,1
Gud quality super,1
"Yonex 350 is always best for practice, and it does the job nicely",1
Good product,1
A best quality 😍,1
Nice quality,1
Very bad quality.... Not even stable for one game ...,0
Shuttle is Used . Very bed,0
Good,1
Best price.best shuttle.Please offer the same price again.so that i can buy 3 barrels once again.,1
Good,1
The quality of this box was not good,0
Seller sent duplicate product,0
Very good quality and genuine product,1
Nice best product,1
Quality is good,1
Nice product,1
"Good product , reasonable price",1
Quality is not good,0
Best one for beginners and intermediate players.,1
Amazing!,1
Worst quality.,0
Go for it!,1
Good,1
Good.. Same as previews...,1
It awesome,1
Good quality...love it,1
Bad quality,0
Not bad it's good,1
Super,0
All time favourite for badminton...,1
Good 😊,1
Not good,0
Nice product,1
Nice,1
Best for regular player.durable shuttle best for daily uses.,1
Good one but price is high,1
Not have the quality I expected,0
Good,1
Very nice. I like it. Tnq so much Flipkart.,1
Its is very nice shuttle pro as well as badminton playing beginners soo i recommend this only to buy because other all are just no. But this shuttle is worthy Means value of money we can say .......,1
Good quality,1
Good,1
Goog,1
Good for indoor courts,1
"Good for hard play... Its not durable when playing in raining 😅, other then it is the best 🤩.",1
Nice happy,1
Very bad experience,0
Very good,1
Good shuttle,1
Good,1
Very Nice shuttle,1
"Good quality shuttles, worth it.",1
Good,1
"Great buy for me, original shuttle delivered. However the box was a bit deformed when received. I didn't return because took Rick to open packaging and found original Yonex M350 shuttles.",1
Excellent shuttle go for it guyz,1
Product is good but delivery was too late,1
Product quality was very bad..broken 1 shuttle  within 1 match ..,0
Superb packing... Keep it up,1
Very good product,1
Good,1
Very worst product,0
"Best product available in market today, but its costly",1
Very bad experience,0
Super one,1
"After 3 day use, shuttle is being uselessI dought on quality",0
Good experience with original shuttles.. delivery within 2 days,1
Best product must buy,1
Nice,1
Good,1
Original shuttles delivered. Value for money. Go for it,1
Nice super,1
Good product thanks flipkart,1
Bad and not a real product,0
Good quality product,1
Very nice product,1
Very bad quality.,0
Super,1
Super,1
Thank you,1
nice,1
Durability isn't that good for 350,1
Unbelievable best shuttle....,1
Good quality,1
Not original products too worst,0
Good,1
Disappointed,0
nice,1
Good,1
Go for this shuttle only if you are professional,1
Mast quality,1
Original product.It was awesome.,1
Nice,1
Fabulous products.,1
Good product,1
Nice product thanx flipkart,1
Nice pic,1
Good,1
Original,1
Ok,1
Good Quality,1
Good,1
Nice,1
Waste product,0
Tq,1
Very very worst quality i ever received,0
Good,1
Good product,1
Quality is very poor,0
"Worst product, worst app",0
Good product,1
Good,1
Value for money,1
Super,1
Satisfied,1
Amazing 😊,1
Good product,1
Good,1
Fine,1
Very nice shuttle love it 👌,1
Very nice product,1
Poor quality and westage of money shuttle broken in two  three games,0
Very nice,1
Waste products not good quickly damage,0
Nice,0
Good,1
It's good product,1
Super,1
Bad produtVery bad,0
Good,1
Durability is good,1
Very beautiful and attractive,1
ok,1
Nice,1
Good item,1
Good product 👌🏼,1
Nice,1
"Fake Product, not lasting even a day.",0
Very nice shuttle,1
This product is very good quality,1
Very good shuttle. Everyone is playing with this shuttle.,1
Good product Supper,1
Super product,1
Excellent quality,1
best,1
Very bad haa,0
Excellent product and delivery,1
Very good,1
Long lasting then any other,1
Poor quality 2 shuttle dameged very soon. I think that was old stock.,0
Nice,1
Good one,1
good,1
Goog,1
Nice,1
Good,1
Damaged product.,0
Good,1
Superb,1
Good but should more of in quality,1
Superb,1
Nice product 👍,1
Good product value for money,1
Good quality,1
Bad quality shuttles gone in a week.,0
Perfect for everyone,1
Superb quality with nice packing,1
Good,1
One of the best shuttle for outdoor play,1
Thank you. Super good,1
Good,1
Good,1
Worst Product... All shuttles are damaged... Old material...,0
Very bad product returned,0
Bad brotact,0
Good product,1
D grade product. 🤮,0
Very bad,0
Good,1
Nice,1
Good,1
Very very bad,0
Nice Packing and fast delivery,0
Nice but quit expensive,1
very bad quality,0
Not in normal quality and very Speed while playing,0
Good,1
Just perfect for bed.......@@@ Itanagar,1
Good 👍,1
"Nowadays it's coming Hardy 2-3 hrs playing onlyQuality is going down, rate is going upNeed to search for alternative",1
Excellent,1
Good,1
Second quality 👎,0
Very good. Shuttle.,1
Super quality ❤❤❤,1
Trusted....and satisfied,1
Worst experience with filpkart,0
Good product,1
Good,1
Best for every badminton player,1
Good,1
Super,1
Flower damaged,0
Good,1
Loved it. Ekdum original quality,1
Good,1
Thanks Flipkart,1
Nice product,1
Good product,1
Good,1
Products damage,1
Good,1
Fabulous,1
Quality is to bad,0
Superb,1
"Very low quality cork, i do not expect 4 or 5 games  to go but in the very first game the cork has come out where the feather part stays brqnd new. Such a cheap quality is not expectes from Yonex.",0
Good,1
Good quality,1
Good,1
Nice,1
Very nice,1
Good quality shuttle.. even Playing on outdoor...,1
Its good,1
Good 👍,1
Good product.,1
Good,1
Good,1
Very nice,1
Very good shuttlecock in outdoor and indoor i love this shuttle,1
Good,1
Ok,1
Item damaged,0
This item is very very poor quality,1
Quality is good 🙂🙂,1
Yonex 350 good👍,1
Good,1
Good quality,1
Good quality,1
Very bad quality this time. All the shuttle balls are broken in single match without hitting shots. Usually each ball lasts for 4 days with 8 heavy matches per day. Totally disappointed. Waste of my money.,0
Good,1
"Quality is not expected, play of 1st day cork has broken",0
Good,1
The whole box of 6 shuttle lasted only 1 week... Nowadays 350.manufacturing is heavily affected due to covid resource crunch...they are increasing the price but quality is degrading drastically..,0
Thanks for quality product sending,1
Good,1
Good 👍🏻,1
I received mavis 350 shuttle boox but i have not satisfied due to very fast speed an head side is a havy wight.. After two three game after flye will be not a good....,1
Good,1
Good product 👍,1
A reliable professional shuttle,1
Its not orginal,0
Supab,1
Excellent shuttle just love it,1
Good for outdoor. Cork weight is balanced. Pretty good life.,1
Just Wao. It was original one. 👌,1
Ok,1
Good Quality,1
It's good,1
Best in class,1
Nice product tq Flipkart,1
Horrible,1
The product was 2021 model and not good for play..,0
This time cork was good,1
Super,1
Quality was too bad. Cork are spinning while Playing.,0
Good products thank u flipkart,1
Great playing,1
Nice product,1
Excellent,1
Best,1
Very nice 👍,1
Good product Fast delivery,1
This is a very good shuttle,1
Good to use,1
Love ❣️ osm quality,1
Loved it ☺️☺️☺️,1
Nice product. But price is getting too high. And duration is getting reduce.,1
Excellent durability,1
Very good,1
Good  pay,1
Good product,1
Nice and high services,1
Ok good for it,1
Too expensive,0
Superb,1
Good,1
Go for the best,1
Good quality,1
Very bad product,0
Good,1
Very worst shuttles,0
Perfect one to play with orginal product.,1
There are not last long enough poor quality,0
Super,1
one of the best shuttles i’ve has played,1
Fantastic...,1
Good,1
Good one.,1
Best,1
Good....,1
Nice,1
Good,1
"Very bad quality, this ball box worst,",0
Nice product,1
"Super, not compare with any other products. That quality is awesome.",1
Good quality,1
Nice,1
Excellent,1
I'm order product in original is received so happy thanks,1
Very nice,1
Nice,1
Nice,1
Good,1
Original product long lasting,1
Super quality product... TQ FLIPKART,1
Super,1
Good good,1
good quality and long life,1
Good,1
Good,1
It's good to play,1
Good,1
Good,1
Best for all,1
Nice,1
Genuine,1
Good,1
Nice quality,1
Very good,1
Good,1
good,1
Super,1
Shuttle cork has been separated with in 1 hours,0
Best I loved it,1
Good product,1
Original,1
Excellent.... It's the Original product...!! Superb & Durable,1
Good pricing,1
"Perfect quality, perfect paking and perfect delivery time as we have expected.",1
Best for beginners,1
Very worst quality.,0
Quality was not good at all. Did not last long like the ones we bought locally of the same brand and model,0
This is  vary nice product,1
Good shuttle,1
Nice product 🌹🤩🥰🌹,1
Regular customer. Perfect as always,1
Good quality,1
Nice one,1
"really original,,",1
Product not good,0
Very bad item,0
Not good am not impressed,0
Good,1
"Not good quality this time , not durable",0
Awesome ❤❤,1
Best product worth for money,1
Excellent,1
Nice product,1
Very nice,1
Bad life.. tore easily,0
Not good,0
Super,1
Good product,1
Mavis is masiv,1
Nice 👍👌,1
Superb,1
Good,1
Worth every penny...,1
Very good,1
"Original product, I've been playing for more than 5 yrs. No defects found yet.",1
Good,1
Nice,1
Original product...Worth for the money,1
Bad product,0
nice product and delivered on time....,1
Nice,1
Very bad shuttle..Broken very fast,0
Nice helpful for my delay practice 👍👍👍👍,1
Nice one,1
Good for it,1
Good Enough.,1
Nice,1
Very good product and the seller cooperation is wonderful 😊.,1
Good,1
"Bad product, bottom side quality is too bad,fake product , didn't expect from Yonex and Flipkart",0
Excellent product,1
Original and good quality...,1
Superb,1
Nice Product,1
Super,1
Yonex std quality always,1
Very good nice quality 👍☺️👍☺️👍👍☺️☺️,1
Excellent,1
Very nice product,1
Outstanding shuttle osmm experience while playing,1
Worst product. All shuttle break from cork.,0
"This is even better than 2000. It's Cork is stronger and hence more durable. But in 2000, shuttle is better but it detaches itself easily from Cork and less durable.",1
In time keep it up,1
Excellent,1
Good,1
Thanks Lot for Quick delivery. Nice experience.,1
Nice,1
Really nice,1
Out of 6 box one of the box is not good Its base is coming out in one game only just 15 mins game.It has happens for 4 shuttle of the se box.,0
Good,1
"Quality and rates are very good, what else is required after that",1
Awesome products.....but only problem is price,1
Good product but it's price was so high...,1
Fine,1
This time quality is best 🔥🔥,1
Perfect,1
Good,1
Product Is Vey Much Bad ....And the price Dosn't Match With The quality ..very Bad product,0
Very good shuttle,1
Quality was not good....,0
Super hit,1
Great,1
good product,1
Nice,1
Nyc,0
Worst quality... Shuttles are shaking while playing... Bad quality.,0
Worst on recent times.We played new Ball today.Two balls bottom tape were gone within 2 hours.I attach with image.The last two delivery was only worst.We are intermediate players and playing doubles.A single ball can stand atleast two day but last two delivery whole 6 balls were damaged within 3 days.,0
Good Quality,1
Quality of product is very good but speed is very high.,1
Good product,1
"All the shuttle bottom got broken, waste of money..",0
Nice,1
good product value of money,1
Not as good as per it's price,0
Nice,1
Good and long lasting,1
Worst product.it lasts only two days (each cork),0
Not bad,0
Got few defective but then got replaced. Now these are very good to play.,1
Poor quality not bying,0
Good,1
Best 👍👍👍👍,1
Worst quality,0
Nice shuttle for beginners to intermediate players. Very very good for practice.,1
Product not good...,0
Good Quality,1
Best,1
The quality was bad and it didn't lasted for even a month.,0
Nice product,1
Quality is very poor...,0
Good product,1
Bad product,0
Amazing shuttles,1
Good,1
Nice,1
Awesome but price is very High,1
Too costly.Hardly lasts for a day.,1
Excellent,1
Very BadShuttle broke after 1 game,0
Good,1
Good shuttlecock,1
You did wonderful job,1
Good product,1
Very good product,1
Good 👍👍👍,1
"Don't buy this , it was a worst purchase ever. Can't play more than one game with this shuttle",0
👍🏸🏸 shuttlecock with nice and long durability .its value for money🤑🤑🏸🏸🏸,1
Good,1
Best shuttles for indoor games,1
quality poor,0
Good,1
Very good product without any confusion,1
It's the s good quality,1
Quality of the product was too bad,0
Bad quality,1
Wonderful product 👍👍,1
Good,1
Good product,1
Nice product. fast delivery,1
Very bad quality shuttle Torn the mesh only within 3games,0
It was original,1
Genuine product performed as expected,1
full mosti,1
Nice one,1
Super,1
Received the original product and it’s awesome.,1
Good,1
Good,1
Original,1
Base of shuttle is very low quality.,0
Quality not good,0
Bad colour,0
Good quality,1
Not expected that yonex sales such default shuttles,0
Orginal item good,1
Very good product One shuttle you have to play minimum ten gsmes,1
Best,1
"Really bad experience,,  some of them is very poor quality..  Don't go for it",0
Super shuttle,1
It's awesome,1
